id,catalogLevelId,subjectName,period,coverageStatus,units,moduleIndexCount,lessonsActivities,objectives,competencies,officialSource,structuredContent,themes,missingReason,applicability,expectedBasis
"annual-scope-v1-fr-primary-sil-langue-francaise","fr-primary-sil","Langue française","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-0""]","[""Expression orale"",""Lecture et littérature"",""Écriture"",""Étude de la langue""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-english-language","fr-primary-sil","English language","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-1""]","[""Listening and speaking"",""Reading"",""Writing"",""Grammar and vocabulary""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-langues-et-cultures-nationales","fr-primary-sil","Langues et cultures nationales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-2""]","[""Communication orale"",""Culture nationale"",""Échanges et activités collectives""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-initiation-aux-mathematiques","fr-primary-sil","Initiation aux mathématiques","YEAR","PARTIAL","8","0","0","8","8","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-math-v1-fr-primary-sil-1"",""annual-math-v1-fr-primary-sil-2"",""annual-math-v1-fr-primary-sil-3"",""annual-math-v1-fr-primary-sil-4"",""annual-math-v1-fr-primary-sil-5"",""annual-math-v1-fr-primary-sil-6"",""annual-math-v1-fr-primary-sil-7"",""annual-math-v1-fr-primary-sil-8""]","[""La maison"",""Le village, la ville"",""L’école"",""Les métiers"",""Les voyages"",""La santé"",""Les jeux"",""Les communications""]","Extraits annuels et objectifs documentés ; totalité des cellules et leçons non structurée. Anomalies exclues explicitement.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-initiation-aux-sciences-et-a-la-technologie","fr-primary-sil","Initiation aux sciences et à la technologie","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-4""]","[""Sciences de la vie"",""Matière"",""Technologie"",""Activités agropastorales"",""Environnement""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-technologies-de-l-information-et-de-la-communication","fr-primary-sil","Technologies de l’information et de la communication","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-5""]","[""Environnement informatique"",""Usages responsables"",""Santé et sécurité""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-sciences-humaines-et-sociales","fr-primary-sil","Sciences humaines et sociales","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-6""]","[""Vie collective"",""Droits et devoirs"",""Citoyenneté"",""Paix et sécurité""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-education-artistique","fr-primary-sil","Éducation artistique","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-7""]","[""Arts visuels"",""Musique"",""Arts dramatiques"",""Danse""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-education-physique-et-sportive","fr-primary-sil","Éducation physique et sportive","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-8""]","[""Activités athlétiques"",""Sports collectifs"",""Coordination corporelle""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
"annual-scope-v1-fr-primary-sil-developpement-personnel","fr-primary-sil","Développement personnel","YEAR","PARTIAL","1","0","0","1","1","[{""id"":""minedub-fr-primary-1"",""url"":""https://www.minedub.cm/download/350/archives/5872/01-programme-niveau-01-2019.pdf"",""version"":""38f57980080bbfddb5fd5d4ca83b553ced3ed36ef9447eb333b9deea76b9fe81""}]","[""annual-gap-v1-fr-primary-sil-subject-9""]","[""Artisanat"",""Activités agropastorales"",""Vie domestique""]","Objectifs communs du niveau structurés ; tableaux détaillés propres à la classe et leçons restant à extraire.","DOCUMENTARY_ONLY_LOCAL_TEACHING_NOT_ESTABLISHED","MINEDUB_DISCIPLINE_INDEX"
